durasi,3
akhirRE_NUMBER,5
ketat,0
lalai,6
listrik,58
RE_NUMBER-RE_NUMBER-RE_NUMBER-RE_NUMBER,4
yaRE_NON_ASCII,8
jelek,27
hidup,5
balesRE_NUMBER,8
pedati,4
rencana,17
ter,30
arifin,5
ali,9
belakang,45
RE_NUMBERl,4
RE_NUMBERdRE_NUMBERayxf,1
kapas,1
mdnadRE_NUMBER,0
resah,5
turun,15
tuntas,1
mundu,0
bebas,6
sampo,1
RE_NUMBERRE_TRANSACTION-RE_NUMBER,14
bungkus,1
nol,7
RE_NUMBERrbu,1
pondok,22
melati,13
pria,18
hamzah,2
hamsjunRE_MENTION,0
padang,25
pRE_NUMBERbrpRE_NUMBERtpvaRE_NUMBERhpvRE_NUMBERnRE_NUMBER,0
ahgRE_NUMBER,18
sRE_NUMBER-RE_NUMBER,3
anggap,19
kue,2
blRE_NUMBERvutRE_NUMBERnv,0
september,2
goblok,36
nyampeRE_NUMBER,57
sambil,7
asli,37
hitung,5
hati,29
RE_NUMBERaRE_NUMBERbinv,0
transaksinyaRE_TRANSACTION,6
kirinRE_NUMBER,0
menjwbRE_NUMBERnya,0
rusak,46
pRE_NUMBERvneyRE_NUMBERiRE_NUMBERtzRE_NUMBERgRE_NUMBER,0
jombang,6
nasib,26
racun,0
semut,0
jakasrinagaRE_MENTION,0
selang,10
RE_NUMBERfRE_NUMBERndnn,1
nayla_footwearRE_NUMBER,1
ahvRE_NUMBER,20
blRE_NUMBERlsqqRE_NUMBERn,0
kemeja,24
kelana,0
sampa,24
todak,6
akulakuRE_NUMBERRE_TRANSACTIONRE_NUMBER,0
abang,24
usul,4
dayang,1
meleset,7
sapai,17
malas,16
RE_NUMBERk,16
ayu,1
RE_NUMBERsudah,1
panci,11
besuk,5
degan,6
noRE_TRANSACTION,11
angga,3
kentang,4
merah,47
iRE_NUMBER,8
brengsek,5
wahid,2
lebar,7
normatif,4
jeda,8
giniRE_NUMBER,3
palu,15
mentok,10
ua,2
masak,47
mintak,24
sumpah,6
kesan,7
kacau,17
diskusi,35
terburuRE_NUMBER,1
anakRE_NUMBER,11
dian,5
RE_INVOICEno,6
RE_NUMBEReRE_NUMBERuRE_NUMBERnt,0
RE_NUMBERrRE_NUMBERbinv,1
okok,44
gema,2
selain,43
cbnaeRE_NUMBER,2
RE_NUMBERcrp,0
blRE_NUMBERayRE_NUMBERiginv,1
cgkRE_NUMBERRE_NON_ASCIIdilacak,0
alhamdulillah,15
empat,15
hancur,1
RE_NUMBERs,16
dRE_NUMBER-RE_NUMBERe-RE_NUMBER-bRE_NUMBER-RE_NUMBERbRE_NUMBERedRE_NUMBERbRE_NUMBERd,0
ffcaeRE_NUMBER-dRE_NUMBERcRE_NUMBER-RE_NUMBERdd-RE_NUMBERfRE_NUMBER-fRE_NUMBERecdeRE_NUMBERafRE_NUMBEReRE_NUMBER,0
bRE_NUMBERbRE_NUMBER-RE_NUMBEReRE_NUMBER-RE_NUMBER-bcbRE_NUMBER-dRE_NUMBERdRE_NUMBERfedRE_NUMBERac,0
RE_NUMBERbRE_NUMBEReef-dRE_NUMBER-RE_NUMBERcRE_NUMBER-RE_NUMBER-RE_NUMBERbfRE_NUMBERa,0
RE_NUMBERunainv,0
kaki,15
mobil,80
walaupun,35
ahhRE_NUMBER,12
lidi,3
kini,35
periksa,16
mangkok,1
batok,10
sendok,4
mang,10
angka,18
spasi,4
RE_NUMBERyhhi,2
bahan,12
niaga,11
tahan,26
RE_NUMBEReRE_NUMBERid,0
prioritas,16
ribu,60
gituRE_NUMBER,6
kopi,12
selimut,3
musibah,1
semangat,3
bahagia,2
destinasi,5
tjRE_NUMBER,5
mai,1
meni,1
malu,13
ahlRE_NUMBER,14
sortir,5
nympeRE_NUMBER,6
klarifikasi,25
sampekRE_NUMBER,0
tanggap,13
blgRE_NUMBERtaRE_NUMBERmejRE_NUMBERgdz,1
agnRE_NUMBER,0
RE_TICKET,15
masukRE_NUMBER,15
mati,27
cancleRE_NUMBER,1
ujungRE_NUMBER,2
sebab,50
kanan,9
RE_NUMBERpcs,19
sejahtera,6
jaring,3
judul,12
unik,4
zRE_NUMBERiRE_NUMBERn,0
raket,15
invoiceRE_TRANSACTION,0
pikupRE_NUMBER,0
bdoagRE_NUMBER,5
hendak,7
selisih,34
prosedur,22
belitung,11
teri,7
kabur,19
RE_NUMBERsra,0
